x,y,z,label
2,-8,4182,0
3,-8,4186,0
-2,-3,4182,0
0,0,4176,0
-6,-2,4171,0
-3,-5,4166,0
-10,-6,4168,0
-1,-2,4170,0
-2,-4,4170,0
-4,-8,4171,0
-1,-1,4180,0
0,-4,4181,0
-3,0,4172,0
-7,0,4176,0
-9,1,4175,0
-6,0,4171,0
-4,-1,4174,0
4,-1,4169,0
-1,0,4171,0
-1,-9,4172,0
-1,-6,4166,0
0,-3,4164,0
0,0,4172,0
6,2,4171,0
-1,-3,4172,0
0,0,4170,0
0,-2,4166,0
2,-1,4168,0
3,0,4170,0
3,0,4171,0
7,-1,4165,0
3,-1,4162,0
-2,0,4168,0
1,2,4163,0
0,3,4160,0
0,3,4162,0
1,-1,4169,0
0,-1,4170,0
-1,4,4172,0
0,-3,4169,0
1,-6,4171,0
-2,-1,4173,0
2,-1,4177,0
-4,-2,4175,0
-2,-2,4172,0
2,-8,4167,0
3,-7,4173,0
2,-9,4170,0
0,-5,4170,0
8,-3,4166,0
8,0,4163,0
4,-5,4163,0
3,-3,4166,0
3,0,4169,0
0,-5,4174,0
0,-13,4167,0
-3,-9,4172,0
-1,-5,4178,0
-2,0,4173,0
2,5,4167,0
1,4,4166,0
3,2,4167,0
0,0,4170,0
-4,2,4176,0
-7,0,4178,0
0,-1,4173,0
0,-2,4169,0
-3,0,4178,0
0,0,4179,0
1,-3,4175,0
1,-4,4160,0
-2,-4,4159,0
0,-2,4159,0
-3,-1,4160,0
-1,2,4163,0
0,0,4169,0
-2,-1,4174,0
-6,-6,4177,0
-10,-5,4176,0
-4,-7,4180,0
0,-7,4178,0
6,-4,4180,0
7,3,4180,0
3,0,4177,0
1,-3,4170,0
0,0,4162,0
3,1,4165,0
6,0,4172,0
8,-3,4180,0
7,-4,4173,0
2,-4,4166,0
6,-1,4167,0
3,2,4162,0
0,-1,4168,0
-3,2,4160,0
4,1,4166,0
-1,2,4173,0
0,6,4183,0
-2,-1,4178,0
-7,1,4174,0
0,3,4169,0
-1,3,4163,0
-5,1,4168,0
-4,3,4173,0
-4,10,4172,0
-6,8,4168,0
-2,5,4166,0
-1,2,4165,0
1,-2,4170,0
1,2,4174,0
2,5,4183,0
-1,2,4175,0
0,-3,4173,0
-3,-5,4175,0
2,-5,4170,0
-4,-9,4169,0
0,-6,4169,0
2,0,4168,0
1,0,4166,0
-1,3,4166,0
-3,3,4158,0
-4,5,4166,0
-2,3,4174,0
-1,4,4165,0
0,4,4166,0
-2,0,4163,0
-3,0,4163,0
0,4,4161,0
0,0,4160,0
-3,0,4171,0
-3,-1,4177,0
0,0,4175,0
2,3,4170,0
1,-1,4170,0
4,0,4175,0
1,0,4171,0
2,-1,4170,0
-2,2,4168,0
0,2,4166,0
0,0,4164,0
-1,-4,4169,0
-3,-3,4163,0
-6,-7,4160,0
-3,-5,4155,0
-1,-8,4157,0
-5,-9,4166,0
0,-7,4166,0
6,-3,4166,0
9,1,4163,0
6,-1,4165,0
4,0,4172,0
4,2,4167,0
0,-1,4168,0
1,0,4165,0
3,-2,4177,0
3,2,4170,0
3,5,4166,0
0,10,4172,0
3,6,4166,0
6,6,4173,0
3,2,4177,0
7,-1,4170,0
5,0,4167,0
4,-5,4168,0
3,2,4165,0
5,2,4166,0
4,3,4162,0
-2,0,4165,0
1,-5,4164,0
2,-4,4166,0
5,0,4169,0
8,0,4166,0
1,1,4163,0
0,-2,4166,0
1,1,4176,0
1,2,4174,0
0,-6,4179,0
-2,-5,4177,0
0,1,4175,0
4,-2,4178,0
5,0,4172,0
0,2,4174,0
-3,-3,4174,0
0,-6,4179,0
-4,-7,4178,0
0,-9,4172,0
-3,-5,4180,0
0,-6,4174,0
-1,-6,4173,0
1,-5,4168,0
1,-3,4170,0
0,-5,4165,0
-2,-4,4168,0
-1,-2,4174,0
-9,-1,4173,0
4,1,4174,0
3,-2,4169,0
3,-5,4170,0
1,-2,4165,0
1,-3,4155,0
1,-2,4166,0
2,0,4171,0
2,0,4174,0
-1,-1,4171,0
0,-1,4173,0
0,-1,4170,0
0,1,4174,0
1,-2,4177,0
6,-1,4176,0
5,-1,4176,0
3,-6,4170,0
2,-7,4168,0
1,-6,4176,0
0,-2,4179,0
-5,6,4180,0
-1,2,4187,0
0,-1,4187,0
-2,0,4178,0
4,0,4175,0
3,1,4174,0
1,3,4170,0
0,-3,4168,0
0,-2,4170,0
-3,-2,4172,0
2,-4,4168,0
5,-7,4167,0
3,-6,4162,0
2,-2,4162,0
